timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1527018924895,1744,HotelTap_S01_TaskCreation_T01_Home,200,"Number of samples in transaction : 1, number of failing samples : 0",HotelTap_S01_TaskCreation 1-2,,true,,2226,335,3,3,0,4,0
1527018924571,1955,HotelTap_S01_TaskCreation_T01_Home,200,"Number of samples in transaction : 1, number of failing samples : 0",HotelTap_S01_TaskCreation 1-1,,true,,2221,335,3,3,0,117,0
1527018925234,1411,HotelTap_S01_TaskCreation_T01_Home,200,"Number of samples in transaction : 1, number of failing samples : 0",HotelTap_S01_TaskCreation 1-3,,true,,2226,335,3,3,0,2,0
1527018926644,8472,HotelTap_S01_TaskCreation_T02_Login,200,"Number of samples in transaction : 18, number of failing samples : 0",HotelTap_S01_TaskCreation 1-2,,true,,26449,10513,3,3,0,1370,0
1527018926645,8492,HotelTap_S01_TaskCreation_T02_Login,200,"Number of samples in transaction : 18, number of failing samples : 0",HotelTap_S01_TaskCreation 1-1,,true,,26444,10513,3,3,0,1362,0
1527018926647,8777,HotelTap_S01_TaskCreation_T02_Login,200,"Number of samples in transaction : 18, number of failing samples : 0",HotelTap_S01_TaskCreation 1-3,,true,,26431,10513,3,3,0,1261,0
1527018936487,2728,HotelTap_S01_TaskCreation_T03_Fill Details_Click Post,200,"Number of samples in transaction : 7, number of failing samples : 0",HotelTap_S01_TaskCreation 1-2,,true,,7259,4516,3,3,0,1003,0
1527018936686,2593,HotelTap_S01_TaskCreation_T03_Fill Details_Click Post,200,"Number of samples in transaction : 7, number of failing samples : 0",HotelTap_S01_TaskCreation 1-3,,true,,7254,4516,3,3,0,1007,0
1527018936501,2939,HotelTap_S01_TaskCreation_T03_Fill Details_Click Post,200,"Number of samples in transaction : 7, number of failing samples : 0",HotelTap_S01_TaskCreation 1-1,,true,,7254,4516,3,3,0,1003,0
1527018940217,1834,HotelTap_S01_TaskCreation_T04_Logout,200,"Number of samples in transaction : 5, number of failing samples : 0",HotelTap_S01_TaskCreation 1-2,,true,,5492,2893,3,3,0,1004,0
1527018940285,1816,HotelTap_S01_TaskCreation_T04_Logout,200,"Number of samples in transaction : 5, number of failing samples : 0",HotelTap_S01_TaskCreation 1-3,,true,,5474,2893,3,3,0,1004,0
1527018943056,255,HotelTap_S01_TaskCreation_T01_Home,200,"Number of samples in transaction : 1, number of failing samples : 0",HotelTap_S01_TaskCreation 1-2,,true,,2221,335,3,3,0,1,0
1527018940443,1894,HotelTap_S01_TaskCreation_T04_Logout,200,"Number of samples in transaction : 5, number of failing samples : 0",HotelTap_S01_TaskCreation 1-1,,true,,5492,2893,3,3,0,1005,0
1527018943106,258,HotelTap_S01_TaskCreation_T01_Home,200,"Number of samples in transaction : 1, number of failing samples : 0",HotelTap_S01_TaskCreation 1-3,,true,,2221,335,3,3,0,2,0
1527018943342,262,HotelTap_S01_TaskCreation_T01_Home,200,"Number of samples in transaction : 1, number of failing samples : 0",HotelTap_S01_TaskCreation 1-1,,true,,2221,335,3,3,0,2,0
1527018943607,6186,HotelTap_S01_TaskCreation_T02_Login,200,"Number of samples in transaction : 18, number of failing samples : 0",HotelTap_S01_TaskCreation 1-1,,true,,26454,10513,3,3,0,1015,0
1527018943312,6665,HotelTap_S01_TaskCreation_T02_Login,200,"Number of samples in transaction : 18, number of failing samples : 0",HotelTap_S01_TaskCreation 1-2,,true,,26414,10513,3,3,0,1012,0
1527018943366,6897,HotelTap_S01_TaskCreation_T02_Login,200,"Number of samples in transaction : 18, number of failing samples : 0",HotelTap_S01_TaskCreation 1-3,,true,,26481,10513,3,3,0,1011,0
1527018950809,2849,HotelTap_S01_TaskCreation_T03_Fill Details_Click Post,200,"Number of samples in transaction : 7, number of failing samples : 0",HotelTap_S01_TaskCreation 1-1,,true,,7220,4516,3,3,0,1004,0
1527018951275,2654,HotelTap_S01_TaskCreation_T03_Fill Details_Click Post,200,"Number of samples in transaction : 7, number of failing samples : 0",HotelTap_S01_TaskCreation 1-3,,true,,7220,4516,3,3,0,1004,0
1527018950989,2952,HotelTap_S01_TaskCreation_T03_Fill Details_Click Post,200,"Number of samples in transaction : 7, number of failing samples : 0",HotelTap_S01_TaskCreation 1-2,,true,,7220,4517,3,3,0,1006,0
1527018954662,1827,HotelTap_S01_TaskCreation_T04_Logout,200,"Number of samples in transaction : 5, number of failing samples : 0",HotelTap_S01_TaskCreation 1-1,,true,,5474,2893,3,3,0,1005,0
1527018957494,256,HotelTap_S01_TaskCreation_T01_Home,200,"Number of samples in transaction : 1, number of failing samples : 0",HotelTap_S01_TaskCreation 1-1,,true,,2203,335,3,3,0,0,0
1527018954948,1833,HotelTap_S01_TaskCreation_T04_Logout,200,"Number of samples in transaction : 5, number of failing samples : 0",HotelTap_S01_TaskCreation 1-2,,true,,5492,2893,3,3,0,1004,0
1527018954933,1908,HotelTap_S01_TaskCreation_T04_Logout,200,"Number of samples in transaction : 5, number of failing samples : 0",HotelTap_S01_TaskCreation 1-3,,true,,5474,2893,3,3,0,1005,0
1527018957785,257,HotelTap_S01_TaskCreation_T01_Home,200,"Number of samples in transaction : 1, number of failing samples : 0",HotelTap_S01_TaskCreation 1-2,,true,,2221,335,3,3,0,0,0
1527018957846,255,HotelTap_S01_TaskCreation_T01_Home,200,"Number of samples in transaction : 1, number of failing samples : 0",HotelTap_S01_TaskCreation 1-3,,true,,2221,335,3,3,0,2,0
1527018957750,6356,HotelTap_S01_TaskCreation_T02_Login,200,"Number of samples in transaction : 18, number of failing samples : 0",HotelTap_S01_TaskCreation 1-1,,true,,26406,10513,3,3,0,1009,0
1527018958042,7186,HotelTap_S01_TaskCreation_T02_Login,200,"Number of samples in transaction : 18, number of failing samples : 0",HotelTap_S01_TaskCreation 1-2,,true,,26410,10513,3,3,0,1017,0
1527018958103,7198,HotelTap_S01_TaskCreation_T02_Login,200,"Number of samples in transaction : 18, number of failing samples : 0",HotelTap_S01_TaskCreation 1-3,,true,,26434,10513,3,3,0,1012,0
1527018965115,3021,HotelTap_S01_TaskCreation_T03_Fill Details_Click Post,200,"Number of samples in transaction : 7, number of failing samples : 0",HotelTap_S01_TaskCreation 1-1,,true,,7193,4516,3,3,0,1005,0
1527018966245,2485,HotelTap_S01_TaskCreation_T03_Fill Details_Click Post,200,"Number of samples in transaction : 7, number of failing samples : 0",HotelTap_S01_TaskCreation 1-2,,true,,7286,4517,3,3,0,1005,0
1527018966314,3041,HotelTap_S01_TaskCreation_T03_Fill Details_Click Post,200,"Number of samples in transaction : 7, number of failing samples : 0",HotelTap_S01_TaskCreation 1-3,,true,,7286,4517,3,3,0,1005,0
1527018969141,1674,HotelTap_S01_TaskCreation_T04_Logout,200,"Number of samples in transaction : 5, number of failing samples : 0",HotelTap_S01_TaskCreation 1-1,,true,,5492,2893,3,3,0,1001,0
1527018969736,1799,HotelTap_S01_TaskCreation_T04_Logout,200,"Number of samples in transaction : 5, number of failing samples : 0",HotelTap_S01_TaskCreation 1-2,,true,,5492,2893,2,2,0,1004,0
1527018970361,1559,HotelTap_S01_TaskCreation_T04_Logout,200,"Number of samples in transaction : 5, number of failing samples : 0",HotelTap_S01_TaskCreation 1-3,,true,,5492,2893,1,1,0,1004,0
